name,line
Rem, I know that you're someone who cannot give up on something halfway through.
Rem, I know that you are someone who can smile
Rem, when you talk about your wishes for the future.	
Rem, I know...	
Rem, I know that you are someone who cannot give up on the future.	
Subaru Natsuki, You're wrong.	
Subaru Natsuki, I'm not that kind of—	
Rem, I am not wrong.	
Rem, You haven't given up on anyone.	
Rem, Not Emilia-sama or Sister.	
Rem," Or Roswaal-sama, or Beatrice-sama, or anyone else.	"
Subaru Natsuki, I have... I have given up!
Subaru Natsuki, Carrying it all was impossible from the start!	(0:14:19.90)
Subaru Natsuki," My hands are so small,"
Subaru Natsuki," that it all slipped through my fingers, leaving nothing."
Rem," No, that isn't true. You have—"
Subaru Natsuki, What do you know?!
Subaru Natsuki, What do you know about me?!	
Subaru Natsuki, This is the kind of man I am!	
Subaru Natsuki," I have no strength, but I want it all.	"
Subaru Natsuki," I have no knowledge, but all I do is dream."
Subaru Natsuki," There's nothing I can do, but I struggle in vain!	"
Subaru Natsuki, I... I...	
Subaru Natsuki, I hate myself!	
Subaru Natsuki," All I do is talk a big game,	"
Subaru Natsuki," and make myself sound like a big shot, when I can't do anything!	"
Subaru Natsuki," I never do anything,	"
Subaru Natsuki, yet I can complain like a pro.	
Subaru Natsuki, Who do I think I am?!	
Subaru Natsuki, It's amazing that I can live like this and not feel ashamed!	
Subaru Natsuki, Right?!	
Subaru Natsuki, I'm empty...	
Subaru Natsuki, There's nothing in me at all!
Subaru Natsuki, I know that...	
Subaru Natsuki," Yeah, that's obvious...	"
Subaru Natsuki, I know it's obvious.
Subaru Natsuki, Before I came here...	
Subaru Natsuki," Before I got into the situation that led me to all of you,	"
Subaru Natsuki, do you have any idea what I did?	
Subaru Natsuki, I did nothing...	
Subaru Natsuki, I've never done a single thing.	
Subaru Natsuki," I had all that time, all that freedom..."
Subaru Natsuki," I could have done anything,"
Subaru Natsuki, but I never did a thing.	
Subaru Natsuki, And this is the result! What I am now is the result!	
Subaru Natsuki," All of my powerlessness, all of my incompetence,	"
Subaru Natsuki, is the product of my rotten character.	
Subaru Natsuki," Wanting to accomplish something, when I've never done anything,	"
Subaru Natsuki, goes beyond the limits of arrogance!	
Subaru Natsuki, The cost of my laziness and all the wasteful habits in my life	
Subaru Natsuki, just ends up killing both you and me.	
Subaru Natsuki, That's right.	
Subaru Natsuki, I have no character.
Subaru Natsuki," Even when I thought I could go on living here, nothing changed...	"
Subaru Natsuki, That old man saw that part of me perfectly.
Subaru Natsuki, Right?
Subaru Natsuki," I wasn't trying to get stronger,"
Subaru Natsuki, or trying to make things better.	
Subaru Natsuki," I was just striking an obvious pose, to justify myself,	"
Subaru Natsuki," to say that I was trying, that it wasn't like I wasn't doing anything.	"
Subaru Natsuki, I wanted to say I couldn't help it.
Subaru Natsuki, I wanted to be told that it couldn't be helped!
Subaru Natsuki," I only pretended to push my body to the limit, so that would be possible!"
Subaru Natsuki," Even when I had you help me study,	"
Subaru Natsuki, I was just posing to cover up how embarrassed I felt!	
Subaru Natsuki," At heart,	"
Subaru Natsuki," I'm just a small, cowardly, filthy piece of trash,	"
Subaru Natsuki, who's always worried about how others see me. And nothing...	
Subaru Natsuki, Nothing about me has changed!	
Subaru Natsuki, I knew it all along.	
Subaru Natsuki, That all of it was my fault...
Subaru Natsuki, I'm the lowest of the low.	
Subaru Natsuki, I absolutely hate myself...	
Rem, I know...	
Rem," That no matter how deeply you have fallen into darkness,"
Rem, you still have the courage to reach out your hand.	
Rem, I love it when you stroke my hair.	
Rem, I feel as if we can understand each other	
Rem, through the contact between your hand and my hair.	
Rem, I love your voice.	
Rem, Just hearing you say one word	
Rem, makes my heart feel warmer.	
Rem, I love your eyes.	
Rem," Normally, they look stern,	"
Rem," but when you're being kind to someone,	"
Rem, I love the way they soften.	
Rem, I love your fingers.	
Rem," For a boy, you have such lovely fingers.	"
Rem," But when they clutch mine, I know they are the strong,"
Rem, slender fingers of a man.
Rem, I love the way you walk.
Rem," When we walk together,"
Rem," I love the way you occasionally turn,to make sure I keep up."
Subaru Natsuki, Stop...
Rem, I love the way you look when you sleep.
Rem," You look unguarded, like an infant,	"
Rem, and your eyelashes are on the long side.	
Rem," When I touch your cheek, you calm down..."
Rem," And when I playfully touch your lips, you don't even notice..."
Rem, And it makes my heart ache terribly.
Rem, I love you.
Subaru Natsuki, Why?
Rem," When you said that you hate yourself,	"
Rem, it made me want to tell you	
Rem, all the wonderful things I know about you.	
Subaru Natsuki, That was all phony.	
Subaru Natsuki, You just don't know me!	
Subaru Natsuki, I know myself better than anyone!	
Rem, All you know is yourself!	
Rem, How much do you know about the Subaru-kun that I see?!	
Subaru Natsuki, Why... do you like me so much?	
Subaru Natsuki, I'm...	
Subaru Natsuki, I'm weak and small.	
Subaru Natsuki, I'm running away.	
Subaru Natsuki, Just like I ran away last time!	
Subaru Natsuki, So why?	
Rem," Because you are my hero, Subaru-kun!	"
Rem," In that dark forest,	"
Rem, when I didn't even know who I was anymore	
Rem," and couldn't think of anything but violently lashing out,"
Rem, you saved me.
Rem," When I woke up unable to move,"
Rem," and Sister was exhausted after using too much magic,"
Rem," you faced the mabeasts as a diversion, so we could escape."
Rem," There was no way you could win,"
Rem, and your life was in real danger.
Rem," But you still stayed,"
Rem," and came back to my arms, still warm."
Rem," When you woke up, you smiled,"
Rem," and said the words I wanted to hear most,"
Rem," when I wanted to hear them most,"
Rem, from the one I wanted most to hear them from.
Rem, My time has been stopped for so long.
Rem," Ever since that fiery night,"
Rem," the night I lost everything except my sister,"
Rem, my time has been stopped...
Rem," It was you who melted my frozen heart,"
Rem, and kindly made my stopped time begin to move forward again!
Rem," I'm sure you have no idea how you saved me,"
Rem," or how happy I was at that moment, on that morning."
Rem, That's why I believe.
Rem," No matter what painful things happen,"
Rem, even when it looks like you'll lose...
Rem," When no one else in the world believes in you,"
Rem, when you don't even believe in yourself...
Rem, I will believe!
Rem, That the Subaru-kun who saved me
Rem, is a true hero.
Subaru Natsuki," No matter how hard I tried,"
Subaru Natsuki, I couldn't save anyone...
Rem, I am here.
Rem, The Rem you saved is right here.
Subaru Natsuki, I've never done anything. I'm empty.
Subaru Natsuki, No one will even listen to me.
Rem, I am here.
Rem, I will listen to anything you have to say.
Rem, I want to.	
Subaru Natsuki, No one expects anything of me.
Subaru Natsuki, No one believes in me.
Subaru Natsuki, I hate myself.	
Rem," Well, I love you, Subaru-kun!"
Subaru Natsuki, You really don't mind that it's me?	
Rem, I want it to be you.	
Rem, I would not want for it to be anyone else.	
Rem, If you cannot forgive yourself	
Rem," for being empty and having nothing,	"
Rem," then let us start from here, right now.	"
Subaru Natsuki, Start what?	
Rem, Just like you started my time for me
Rem, we will make the time that you feel is stopped for you	
Rem, begin to move again.	
Rem, Let us start here.	
Rem, From square one.	
Rem," No,	"
Rem, from zero!	
Rem," If it is too hard for you to walk alone,	"
Rem, I will hold you up.	
Rem," As we walk, we will share the burden and support each other.	"
Rem, Wasn't this what you said to me that morning?	
Rem," Show me how awesome you can be, Subaru-kun.	"
Subaru Natsuki, Rem...	
Rem, Yes?	
Subaru Natsuki, I love Emilia.	
Rem, Yes.	
Subaru Natsuki, I want to see Emilia smile.
Subaru Natsuki, I want to be of help to Emilia's future.	
Subaru Natsuki," Even if she says I'm in the way,	"
Subaru Natsuki, even if she tells me to stay away...
Subaru Natsuki, I want to be next to her.	
Subaru Natsuki," Using my feelings for her as an excuse,	"
Subaru Natsuki, to get her to understand everything	
Subaru Natsuki," was arrogant of me, huh?	"
Subaru Natsuki, It's okay if she doesn't understand.	
Subaru Natsuki," If there's a bleak, painful future waiting for her,	"
Subaru Natsuki, I want to take her away to a future where we can all laugh together!	
Subaru Natsuki, Will you help me?	
Subaru Natsuki, I can't do anything alone.	
Subaru Natsuki, I lack in everything.	
Subaru Natsuki, I'm not confident that I can even keep walking straight.	
Subaru Natsuki," I'm weak, fragile, and small.	"
Subaru Natsuki," So, to make sure I keep walking straight,	"
Subaru Natsuki," to help me realize when I'm wrong,	"
Subaru Natsuki, will you help me?	
Rem," You are a cruel man, Subaru-kun.	"
Rem, You ask all this of someone you just rejected?	
Subaru Natsuki," Hey, it's also hard for me to ask this of the one who rejected	"
Subaru Natsuki, my once-in-a-lifetime proposal.	
Rem, I humbly accept.	
Rem," If it will help you,	"
Rem," my hero,	"
Rem," greet the future with a smile, then yes.	"
Subaru Natsuki," Yeah, just watch.	"
Subaru Natsuki, You get a front row seat...	
Subaru Natsuki, To see the man you fell for
Subaru Natsuki, become the most awesome hero ever!	
Subaru Natsuki, I'm watching you.	
Subaru Natsuki, You're watching me.	
Subaru Natsuki, So I won't look downward.	
Subaru Natsuki," Natsuki Subaru's story will begin right here, from zero.	"
Subaru Natsuki," My life in another world starts here, from zero!"
